,Study,Mosquito,Insecticide,concn,Hut,location,wall_type,Deterrency,Induced_Exophily,Bloodfeeding_inhibition,Insecticide_induced_mortality,insecticide,Months_since_IRS,time,Ntotalfemalemosq_C,Ntotaldied_C,Nexittraps_C,Nbloodfed_C,Ntotalfemalemosq_IRS,Ntotaldied_IRS,Nexittraps_IRS,Nbloodfed_IRS
1,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-9.090909091,17.5,-94.11764706,56,sumishield,0.25,0,22,2,2,17,20,12,5,18
2,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,59.09090909,27.71428571,-24.23529412,68.57142857,sumishield,0.25,0,22,2,2,17,35,25,12,24
3,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,9.090909091,49.58333333,-23.52941176,90.83333333,sumishield,0.25,0,22,2,2,17,24,22,13,21
4,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-40.90909091,6.923076923,20.36199095,100,sumishield,0.25,0,22,2,2,17,13,13,2,8
5,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-9.090909091,34,-104.9019608,56,sumishield,0.25,0,22,2,2,17,20,12,8,19
6,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-12.5,-14.28571429,-55.55555556,64.28571429,sumishield,0.5,0.5,16,0,3,16,14,9,1,14
7,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,6.25,-1.357466063,-36.36363636,64.70588235,sumishield,0.5,0.5,16,0,3,16,17,11,3,15
8,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-68.75,-23.07692308,0,100,sumishield,0.5,0.5,16,0,3,16,5,5,0,5
9,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-25,-12.82051282,50,100,sumishield,0.5,0.5,16,0,3,16,12,12,1,6
10,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-68.75,1.538461538,-150,40,sumishield,0.5,0.5,16,0,3,16,5,2,1,5
11,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-57.14285714,18.33333333,-43.58974359,75,sumishield,0.75,0.75,28,0,8,26,12,9,5,12
12,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-25,-26.66666667,-27.88461538,76.19047619,sumishield,0.75,0.75,28,0,8,26,21,16,2,19
13,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-21.42857143,4.545454545,-13.07692308,90.90909091,sumishield,0.75,0.75,28,0,8,26,22,20,7,21
14,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,39.28571429,-11.28205128,-1.165501166,84.61538462,sumishield,0.75,0.75,28,0,8,26,39,33,8,31
15,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-78.57142857,53.33333333,-61.53846154,66.66666667,sumishield,0.75,0.75,28,0,8,26,6,4,4,6
16,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-53.84615385,-12.06896552,-258.3783784,27.77777778,sumishield,1,1,39,0,10,37,18,5,3,17
17,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-35.8974359,19.31034483,-192.7927928,36,sumishield,1,1,39,0,10,37,25,9,10,25
18,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-48.71794872,32.75862069,-25.16891892,80,sumishield,1,1,39,0,10,37,20,16,10,19
19,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-69.23076923,43.96551724,-31.75675676,66.66666667,sumishield,1,1,39,0,10,37,12,8,7,10
20,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-69.23076923,21.55172414,-532.4324324,16.66666667,sumishield,1,1,39,0,10,37,12,2,5,12
21,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-18.86792453,-30.72586328,-172.3611111,37.20930233,sumishield,1.25,1.25,53,0,20,45,43,16,8,37
22,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-20.75471698,4.401154401,-318.7654321,21.42857143,sumishield,1.25,1.25,53,0,20,45,42,9,17,32
23,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-1.886792453,-14.27738928,-100.6584362,51.92307692,sumishield,1.25,1.25,53,0,20,45,52,27,15,46
24,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,13.20754717,51.81818182,-36.95090439,71.66666667,sumishield,1.25,1.25,53,0,20,45,60,43,42,50
25,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-41.50943396,6.744868035,-410.3703704,19.35483871,sumishield,1.25,1.25,53,0,20,45,31,6,13,26
26,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-30.35714286,11.88811189,-469.2307692,17.94871795,sumishield,1.5,1.5,56,0,12,52,39,7,12,37
27,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-7.142857143,6.993006993,-110.7023411,44.23076923,sumishield,1.5,1.5,56,0,12,52,52,23,14,45
28,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-26.78571429,41.01995565,-108.6538462,39.02439024,sumishield,1.5,1.5,56,0,12,52,41,16,22,31
29,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-64.28571429,42.72727273,-241.025641,30,sumishield,1.5,1.5,56,0,12,52,20,6,11,19
30,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,0,0,-1246.153846,7.142857143,sumishield,1.5,1.5,56,0,12,52,56,4,12,50
31,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-63.63636364,21.42857143,-292.8571429,23.25581395,sumishield,1.75,1.75,44,1,16,42,16,4,8,15
32,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-6.818181818,11.8466899,-137.4603175,35.11060692,sumishield,1.75,1.75,44,1,16,42,41,15,18,34
33,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-27.27272727,26.33928571,-54.06162465,52.03488372,sumishield,1.75,1.75,44,1,16,42,32,17,17,25
34,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-84.09090909,-57.14285714,-144.4444444,41.5282392,sumishield,1.75,1.75,44,1,16,42,7,3,0,7
35,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-43.18181818,30.85714286,-2100,1.76744186,sumishield,1.75,1.75,44,1,16,42,25,1,14,21
36,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-14.28571429,-0.574712644,-341.4414414,25,sumishield,2,2,42,0,13,37,36,9,11,35
37,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-2.380952381,-2.43902439,-191.8918919,34.14634146,sumishield,2,2,42,0,13,37,41,14,12,36
38,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,9.523809524,-0.749625187,-120.7207207,39.13043478,sumishield,2,2,42,0,13,37,46,18,14,35
39,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-88.0952381,42.06896552,-41.89189189,80,sumishield,2,2,42,0,13,37,5,4,3,5
40,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,19.04761905,-10.06896552,-382.4324324,16,sumishield,2,2,42,0,13,37,50,8,12,34
41,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-45.63106796,9.330985915,-296.8637993,21.42857143,sumishield,2.25,2.25,103,0,32,93,56,12,21,43
42,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-66.99029126,10.3976802,-130.0248139,38.23529412,sumishield,2.25,2.25,103,0,32,93,34,13,13,27
43,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-64.0776699,-5.862200228,-167.6523297,32.43243243,sumishield,2.25,2.25,103,0,32,93,37,12,10,29
44,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-82.52427184,-4.773082942,-88.27956989,55.55555556,sumishield,2.25,2.25,103,0,32,93,18,10,5,17
45,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-66.01941748,0.523138833,-293.7873357,25.71428571,sumishield,2.25,2.25,103,0,32,93,35,9,11,32
46,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-25,22.22222222,-288.8888889,21.42857143,sumishield,2.5,2.5,56,0,8,56,42,9,14,35
47,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,41.07142857,15.82278481,-225,30.37974684,sumishield,2.5,2.5,56,0,8,56,79,24,22,78
48,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,16.07142857,30,-103.4482759,44.61538462,sumishield,2.5,2.5,56,0,8,56,65,29,26,59
49,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-87.5,16.66666667,-75,57.14285714,sumishield,2.5,2.5,56,0,8,56,7,4,2,7
50,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-16.07142857,3.191489362,-4400,2.127659574,sumishield,2.5,2.5,56,0,8,56,47,1,8,45
51,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-36.53846154,-2.424242424,-547.1111111,15.15151515,sumishield,2.75,2.75,52,0,12,45,33,5,7,28
52,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-19.23076923,53.57142857,-304.4444444,23.80952381,sumishield,2.75,2.75,52,0,12,45,42,10,27,35
53,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-19.23076923,16.42857143,-208.1481481,28.57142857,sumishield,2.75,2.75,52,0,12,45,42,12,15,32
54,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-75,10,-98.0952381,53.84615385,sumishield,2.75,2.75,52,0,12,45,13,7,4,12
55,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-55.76923077,20.86956522,-1113.333333,8.695652174,sumishield,2.75,2.75,52,0,12,45,23,2,9,21
56,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-35.03649635,8.015894766,-718.7710438,13.48314607,sumishield,3,3,137,0,55,99,89,12,40,71
57,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-46.71532847,-19.01102573,-373.4183945,26.02739726,sumishield,3,3,137,0,55,99,73,19,21,65
58,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-35.76642336,-6.319290466,-180.2272727,45.45454545,sumishield,3,3,137,0,55,99,88,40,32,81
59,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-75.91240876,-1.25646711,-167.5420875,45.45454545,sumishield,3,3,137,0,55,99,33,15,13,29
60,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-62.04379562,-28.51782364,-868.6868687,13.46153846,sumishield,3,3,137,0,55,99,52,7,12,49
61,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-14.03508772,34.85714286,-270.5,24.48979592,sumishield,3.25,3.25,57,0,7,50,49,12,21,39
62,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-8.771929825,21.07692308,-215.1764706,32.69230769,sumishield,3.25,3.25,57,0,7,50,52,17,16,47
63,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,0,18,-128,40.35087719,sumishield,3.25,3.25,57,0,7,50,57,23,16,46
64,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-66.66666667,22,-170.75,42.10526316,sumishield,3.25,3.25,57,0,7,50,19,8,6,19
65,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-45.61403509,48.51612903,-1002,9.677419355,sumishield,3.25,3.25,57,0,7,50,31,3,17,29
66,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-52.99145299,5.454545455,-1743.636364,4.639498433,sumishield,3.5,3.5,117,1,18,110,55,3,11,52
67,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-27.35042735,44.38502674,-319.5454545,20.4969574,sumishield,3.5,3.5,117,1,18,110,85,18,45,71
68,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-9.401709402,26.41509434,-153.2467532,39.10214704,sumishield,3.5,3.5,117,1,18,110,106,42,40,100
69,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-76.92307692,16.83501684,-132.0661157,40.22988506,sumishield,3.5,3.5,117,1,18,110,27,11,8,24
70,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-42.73504274,29.44369064,-928.1818182,8.170355121,sumishield,3.5,3.5,117,1,18,110,67,6,27,58
71,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-12.5,32.77310924,-1438.461538,5.714285714,sumishield,3.75,3.75,40,0,6,39,35,2,15,30
72,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-22.5,27.89373814,-429.9145299,19.35483871,sumishield,3.75,3.75,40,0,6,39,31,6,12,31
73,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-20,26.47058824,-253.2763533,28.125,sumishield,3.75,3.75,40,0,6,39,32,9,12,31
74,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-22.5,16.5085389,-147.8632479,38.70967742,sumishield,3.75,3.75,40,0,6,39,31,12,9,29
75,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-20,26.47058824,-643.5897436,12.5,sumishield,3.75,3.75,40,0,6,39,32,4,12,29
76,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,40.90909091,17.82682513,-400,16.12903226,sumishield,4,4,22,0,3,22,31,5,9,25
77,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,22.72727273,39.96101365,-350,22.22222222,sumishield,4,4,22,0,3,22,27,6,13,27
78,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-4.545454545,39.34837093,-150,38.0952381,sumishield,4,4,22,0,3,22,21,8,10,20
79,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-18.18181818,9.941520468,-125,44.44444444,sumishield,4,4,22,0,3,22,18,8,4,18
80,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-27.27272727,42.10526316,#DIV/0!,0,sumishield,4,4,22,0,3,22,16,0,8,15
81,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-25.92592593,67.85714286,-750,10,sumishield,4.25,4.25,27,0,6,27,20,2,15,17
82,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-51.85185185,10.98901099,-500,15.38461538,sumishield,4.25,4.25,27,0,6,27,13,2,4,12
83,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-40.74074074,19.64285714,-275,25,sumishield,4.25,4.25,27,0,6,27,16,4,6,15
84,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-44.44444444,22.85714286,-160,33.33333333,sumishield,4.25,4.25,27,0,6,27,15,5,6,13
85,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-62.96296296,10,#DIV/0!,0,sumishield,4.25,4.25,27,0,6,27,10,0,3,10
86,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-19.35483871,13.73913043,-733.3333333,12,sumishield,4.5,4.5,31,0,8,31,25,3,9,25
87,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-22.58064516,26.99275362,-380,20.83333333,sumishield,4.5,4.5,31,0,8,31,24,5,11,24
88,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-6.451612903,-6.896551724,-190,34.48275862,sumishield,4.5,4.5,31,0,8,31,29,10,6,29
89,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-77.41935484,22.98136646,-133.3333333,42.85714286,sumishield,4.5,4.5,31,0,8,31,7,3,3,7
90,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-58.06451613,17.05685619,-550,15.38461538,sumishield,4.5,4.5,31,0,8,31,13,2,5,13
91,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-32.60869565,-9.677419355,-866.6666667,9.677419355,sumishield,4.75,4.75,46,0,23,46,31,3,14,29
92,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-43.47826087,-69.23076923,-420,19.23076923,sumishield,4.75,4.75,46,0,23,46,26,5,4,26
93,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-50,-30.43478261,-228.5714286,30.43478261,sumishield,4.75,4.75,46,0,23,46,23,7,8,23
94,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-71.73913043,7.692307692,-225,30.76923077,sumishield,4.75,4.75,46,0,23,46,13,4,7,13
95,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-65.2173913,-12.5,-1500,6.25,sumishield,4.75,4.75,46,0,23,46,16,1,7,16
96,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-34.69387755,8.125,-1400,4.296875,sumishield,5,5,49,1,19,49,32,2,14,30
97,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-40.81632653,-35.17241379,-383.3333333,19.03735632,sumishield,5,5,49,1,19,49,29,6,5,29
98,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-65.30612245,13.52941176,-325,21.93627451,sumishield,5,5,49,1,19,49,17,4,8,17
99,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-71.42857143,6.666666667,-250,27.08333333,sumishield,5,5,49,1,19,49,14,4,6,14
100,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-75.51020408,4.722222222,-1100,6.423611111,sumishield,5,5,49,1,19,49,12,1,5,12
